,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
56896,92,Côtes de Ciel 2012 Ciel du Cheval Vineyard Cabernet Franc (Red Mountain),"Just under 16% alcohol, this nonetheless displays lush and pure flavors of blueberry and black cherry, dusted with cinnamon and sandalwood. The concentration is exceptional.",Paul Gregutt,@paulgwine ,39.0,Ciel du Cheval Vineyard,Cabernet Franc,Red Mountain,Columbia Valley,Washington,US,Côtes de Ciel,,
56897,92,Hugel 2009 Jubiléé Gewurztraminer (Alsace),"This is a wonderfully balanced wine, bursting with ripe spice as well as acidity. It's a rich wine, now showing maturity without losing its fruit. The depth of flavor, drilling right down to the mineral structure, is impressive. Drink now, although also wait until 2016.",Roger Voss,@vossroger,55.0,Jubiléé,Gewürztraminer,Alsace,,Alsace,France,Hugel,,
56898,92,Lynmar 2012 La Sereinité Chardonnay (Russian River Valley),"With no new oak, La Sereinité is indeed serene, textured and round with vibrant acidity. The aromatics do the talking first, inviting one in with nuanced white peach, orange blossom and lime before the palate develops over time into richer, fuller flavors of crème brûlée. Throughout, the wine is balanced and expressive.",Virginie Boone,@vboone,70.0,La Sereinité,Chardonnay,Russian River Valley,Sonoma,California,US,Lynmar,,
56899,92,Pedra Cancela 2010 Seleção do Enólogo Red (Dão),"This lightly wood-aged wine is slightly austere in style, with plum and blackberry tones providing weight. Some tannins and acidity accompany its fine, fruity core, giving a more serious note to this wine. Drink from 2018.",Roger Voss,@vossroger,11.0,Seleção do Enólogo,Portuguese Red,,,Dão,Portugal,Pedra Cancela,,
56900,92,Vie Winery 2011 White Hawk Vineyard Syrah (Santa Barbara County),Scents of effervescent cherry and mint run with emergent licorice and slate on this wine that proves lithe yet flavorful on the palate. Lovely blackberry flavors and black pepper make for a very balanced bottling that doesn't rely on bombastic power to tell the Syrah story.,Matt Kettmann,@mattkettmann,45.0,White Hawk Vineyard,Syrah,Santa Barbara County,Central Coast,California,US,Vie Winery,,
57606,92,Grangehurst 2014 Cape Winemakers Guild Auction Blend Red (Stellenbosch),"Winemaker: Jeremy Walker. Pressed African violets, boysenberry, black berry and cherry all flood the nose of this attractive wine, with hints of licorice and black tea for added interest. The palate is plush, big and bold in fruit intensity and structure, but all in equal measure and overall harmony. Lingering notes of Baker's chocolate, leather and earthy spice carry on through the close. Drink 2020–2024.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Auction Blend,Bordeaux-style Red Blend,,,Stellenbosch,South Africa,Grangehurst,,
57607,92,Nicky Versfeld 2016 Cape Winemakers Guild Double Barrel Semillon (Darling),"Winemaker: Nicky Versfeld. The only 100% Sémillon in the CWG lineup, this is a treat. Upfront, the bouquet is rich and decadent, with toasty scents of cedar-grilled apple, peach pit and spiced orange peel as well as a touch of lemon verbena that subtly shines through. The palate is creamy and full, but countered by bright acidity and citrusy freshness that holds on alongside the oak spice on the lengthy finish. It's approachable now, but would really benefit from a few years of maturity; try after 2019.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Double Barrel,Sémillon,,,Darling,South Africa,Nicky Versfeld,,
57608,92,Paul Cluver 2015 Cape Winemakers Guild Auction Selection Pinot Noir (Elgin),"Winemaker: Andries Burger. There's a very fine balance in this attractive Pinot, offering both ripe red-cherry and forest-berry fruits that are graced with hits of bittersweet cocoa, cola spice and forest floor. It's silky and seductive, with well-integrated tannins and ample acidity to keep the palate fresh. Pleasant notes of earthy baking spice and cherry pit carry on through the close. An elegant and refined wine, this should age well through 2023.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Auction Selection,Pinot Noir,,,Elgin,South Africa,Paul Cluver,,
57609,92,Villiera 2015 Cape Winemakers Guild Drip Barrel Cabernet Franc (Stellenbosch),"Winemaker: Jeff Grier. This Cab Franc is remarkably pronounced in purple floral characteristics, presented in bold waves of crushed violet and iris that are grounded by raspberry, cherry and strawberry preserves. The smooth palate offers ample tannic structure to frame the lush, ripe fruit flavors, followed by loads of baking spice and cigar ash on the long, intriguing finish. Drink now–2022.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Drip Barrel,Cabernet Franc,,,Stellenbosch,South Africa,Villiera,,
57610,92,Waterford 2016 Cape Winemakers Guild 1988 Kept Aside Chardonnay (Stellenbosch),"Winemaker: Kevin Arnold. Bright, clean aromas of cinnamon-dusted yellow apple, dried orange peel and a touch of honeydew unfold on the nose of this rich yet well-balanced Chardonnay. There's a pleasant creaminess to the medium-weight mouthfeel, though it's not overly fat or flat, enlivened by ample acidity and forward, lingering notes of baked apple and peach pit on the finish. Drink 2019–2022.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild 1988 Kept Aside,Chardonnay,,,Stellenbosch,South Africa,Waterford,,
57611,92,Ernie Els 2015 Cape Winemakers Guild CWG Red (Stellenbosch),"Winemaker: Louis Strydom. A blend of 60% Cabernet Sauvignon, 30% Shiraz and 10% Cinsault, this wine is an infant right now, with closed but concentrated dark-fruit aromas and flavors of cassis, black plum, Bakers chocolate and oak spice. Black plum skin, currant and char flavors unfold on the palate, framed by firm, gripping tannins that linger through the long, dry close. Give this time for the tannins to resolve, allowing the fruit to shine a bit brighter. Drink 2021–2025.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild CWG,Red Blend,,,Stellenbosch,South Africa,Ernie Els,,
57612,92,Newton Johnson 2016 Cape Winemakers Guild Windansea Pinot Noir,"Winemaker: Gordon Newton Johnson. This is such a pretty and elegant Pinot, certainly not what most would expect from a ""New World"" wine region. It expresses the masterful balance that South African Pinot can achieve in the New World style of ripe red-fruit character with the Old World finesse of bright acidity and an earthy, forest-floor dominance. Pressed floral tones are partnered with notes of red cherry, cola spice and sous bois throughout. Silky and smooth, it offers soft, fine tannins that somehow still manage to provide a present structure for overall balance and harmony. Drink now–2023.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Windansea,Pinot Noir,,,,,Newton Johnson,,
57613,92,de Trafford 2015 Cape Winemakers Guild Perspective Merlot-Cabernet Sauvignon (Stellenbosch),"Winemaker: David Trafford. A blend of 67% Merlot and 33% Cabernet Sauvignon, this opens with warm, inviting scents of mulberry, blackberry and muddled dark cherry, all hit by spicy accents of fruit cake and cocoa. The medium-weight palate offers more rich, ripe fruit flavors before transitioning to notes of black fruit skin, woodspice and an earthy, graphite-like minerality that flashes vibrantly on the enduring finish. Well balanced, layered and complex, this will only continue to improve as it evolves. Drink 2020–2025.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Perspective,Merlot-Cabernet Sauvignon,,,Stellenbosch,South Africa,de Trafford,,
57614,92,Etienne le Riche 2014 Cape Winemakers Guild CWG Auction Reserve Cabernet Sauvignon (Stellenbosch),"Winemaker: Etienne le Riche. There are layers of aromas and flavors in this complex wine, starting with attractive scents of pressed purple flowers, wild strawberries, blackberries and woodspice. The palate is seriously spicy, but grounded by dense—yet not overdone—black fruit flavors. Medium acidity and structured tannins, followed by a long, evolving finish, complete the package. Harmonious, well integrated and balanced, drink 2020–2024.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild CWG Auction Reserve,Cabernet Sauvignon,,,Stellenbosch,South Africa,Etienne le Riche,,
57615,92,Kaapzicht 2015 Cape Winemakers Guild The Ultimate Vision Red (Stellenbosch),"Winemaker: Danie Steytler. A blend of 45% Pinotage, 45% Cabernet Sauvignon and 10% Merlot, this isn't a shy or reserved wine, though it expresses overall balance and harmony in all its elements. Intense aromas of pressed purple flowers, wild strawberry and juicy muddled cherries abound on the nose, with a cinnamon thread weaving throughout. Serious tannins frame the ripe, concentrated palate, with rich fruit flavors that are ripe without being overly so. The finish is long and evolving, carrying you from the fruit to leather and earth and finally toasted spice. Drink 2021–2027.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild The Ultimate Vision,Red Blend,,,Stellenbosch,South Africa,Kaapzicht,,
57616,92,Beyerskloof 2015 Cape Winemakers Guild CWG Traildust Pinotage (Stellenbosch),"Winemaker: Beyers Truter. A selection from Mr. Pinotage, this is somewhat closed and shy at present, but shows a core of tight black fruit, oodles of spice, a full structure and ample acidity to suggest this is designed for some time to age. Touches of char, tree bark and leather add earthy, gamy accents to the blackberry and boysenberry fruit tones. The plush texture, with firm but well-integrated tannins, is pleasantly balanced and easy to like. It's drinkable now, but should really chill for a few years; try after 2020.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild CWG Traildust,Pinotage,,,Stellenbosch,South Africa,Beyerskloof,,
57617,92,Adi Badenhorst & Duncan Savage 2016 Cape Winemakers Guild Love Boat White White (Western Cape),"Winemakers: Adi Badenhorst & Duncan Savage. The counterpart to the Love Boat Red is this kitchen sink white blend of  28% Sauvignon Blanc, 21% Grenache Blanc, 21% Roussanne, 15% Semillon, 9% Chenin Blanc and 6% Viognier. There's a ton going on, with new layers of aroma and flavor with each sniff and sip. Ripe scents of pineapple, melon, honeycomb, honeysuckle and spiced apple dance in the bouquet and transition through to the medium-weight palate. Medium acidity keeps the ripeness in check, lending verve to the lemon curd and baked apple fueled finish. It's delicious now, but should age gracefully through 2022.",Lauren Buzzeo,@laurbuzz,,Cape Winemakers Guild Love Boat White,White Blend,,,Western Cape,South Africa,Adi Badenhorst & Duncan Savage,,
57625,92,Marco Abella 2008 Mas Mallola Red (Priorat),"Dry, schisty aromas of cherry and spice are reserved and elevated. This is a bright wine with juicy acidity and complexity. Flavors of baked berry fruits are minerally at the core, while the finish is smooth, mature and steady, with lasting purity. Drink through 2019.",Michael Schachner,@wineschach,50.0,Mas Mallola,Red Blend,Priorat,,Catalonia,Spain,Marco Abella,,
57626,92,Alion 2009  Ribera del Duero,"Blueberry, savory plum and lemony oak are the key aromas on this firmly structured RDD. Flavors of blackened toast, blackberry, pepper and creamy oak finish pure, strong and long, with mint, licorice and chocolaty residual notes. Drink through 2022.",Michael Schachner,@wineschach,90.0,,Tempranillo,Ribera del Duero,,Northern Spain,Spain,Alion,,
57627,92,Andrew Will 2010 Two Blondes Vineyard Red (Yakima Valley),"Sophisticated and complex, this terroir-specific wine artfully blends herbal components—green tea, chamomile and mint—with tart red fruit flavors of pomegranate, raspberry, and bramble. The blend is 43% Merlot, 38% Cabernet Sauvignon, 17% Cabernet Franc and 2% Malbec.",Paul Gregutt,@paulgwine ,55.0,Two Blondes Vineyard,Bordeaux-style Red Blend,Yakima Valley,Columbia Valley,Washington,US,Andrew Will,,
57628,92,Cadence 2010 Ciel du Cheval Red (Red Mountain),"This Bordeaux-style blend showcases the intensity of the vineyard's grapes, with aromatics suggesting bright berries and iron filings. It's still a tight, compact wine, sharply acidic, and will require further bottle age to really deliver on its potential. Try after 2018.",Paul Gregutt,@paulgwine ,45.0,Ciel du Cheval,Bordeaux-style Red Blend,Red Mountain,Columbia Valley,Washington,US,Cadence,,
57629,92,A.A. Badenhorst Family Wines 2009 Red (Swartland),"This blend of 66% Shiraz, 16% Mourvèdre, 14% Grenache and 4% Cinsault is pure and balanced, with an immediately perceptable core of brambly berry that's accented by notes of white pepper, charred cedar, forest floor and cocoa nib. The medium-weight palate is fleshy yet firm, with spiced-fruit flavors and structured tannins. It's certainly drinkable now, but this will continue to mature and evolve nicely through 2018.",Lauren Buzzeo,@laurbuzz,45.0,,Rhône-style Red Blend,,,Swartland,South Africa,A.A. Badenhorst Family Wines,,
57630,92,Golan Heights Winery 2010 Yarden 2T Touriga Nacional-Tinta Cão Red (Galilee),"Inky violet-red in color, this blend offers vivid aromas of cranberry, pomegranate and aniseed. Flavors of black cherry, blueberry pie, caramel and a dash of salinity endure through the lingering finish, against a backdrop of grippy tannins.",Mike DeSimone,@worldwineguys,32.0,Yarden 2T Touriga Nacional-Tinta Cão,Red Blend,,,Galilee,Israel,Golan Heights Winery,,
57631,92,COS 2011 Pithos Grecanico (Sicilia),"Made from Grecanico, fermented and aged in terra-cotta amphorae, this amber-colored wine delivers a great depth of flavors that include dried apricots, orange zest, cured meats, Mediterranean herbs, lemon drop and forest floor alongside energizing mineral. It would make a great vino da meditazione. Drink through 2021.",Kerin O’Keefe,@kerinokeefe,44.0,Pithos,Grecanico,Sicilia,,Sicily & Sardinia,Italy,COS,,
